Placa,Chassi,Tipo,Ignição,HR Evento,HR Recebimento,Velocidade,Tensão,Sinal,Hodômetro,Endereço,Lat/Long
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:30,21/07/2025 15:30,36,13.53v,10,6677842,"Avenida Silva Jardim, Curitiba - PR","-25.446608, -49.285984"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:30,21/07/2025 15:30,15,13.91v,10,6678074,"Avenida Silva Jardim, Curitiba - PR","-25.445778, -49.28425"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:30,21/07/2025 15:30,12,13.91v,10,6678084,"Avenida Silva Jardim, Curitiba - PR","-25.445707, -49.28433"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:30,21/07/2025 15:30,22,13.95v,10,6678112,"Rua Bento Viana, Curitiba - PR","-25.444973, -49.284218"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:31,21/07/2025 15:31,38,14.09v,10,6678391,"Rua Alf Angelo Sampaio, Curitiba - PR","-25.444822, -49.281994"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:32,21/07/2025 15:32,6,12.57v,10,6678926,"Avenida Silva Jardim, Curitiba - PR","-25.44327, -49.277317"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:32,21/07/2025 15:32,8,12.53v,10,6678938,"Avenida Silva Jardim, Curitiba - PR","-25.443226, -49.27743"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:32,21/07/2025 15:32,7,13.33v,10,6678992,"Avenida Silva Jardim, Curitiba - PR","-25.443342, -49.27744"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:35,21/07/2025 15:35,28,13.91v,10,6680136,"Avenida Silva Jardim, Curitiba - PR","-25.439709, -49.26728"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:36,21/07/2025 15:36,34,14.06v,10,6680696,"Travessa Pinheiro, Curitiba - PR","-25.438387, -49.26217"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:38,21/07/2025 15:38,9,14.06v,10,6681859,"Rua João Negrão, Curitiba - PR","-25.447414, -49.258415"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:39,21/07/2025 15:39,13,13.84v,10,6682036,"Rua João Negrão, Curitiba - PR","-25.448988, -49.258022"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:39,21/07/2025 15:39,8,14.03v,10,6682052,"Rua Guabirotuba, Curitiba - PR","-25.449018, -49.25791"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:40,21/07/2025 15:40,54,13.82v,10,6683560,"Rua Alberto Twardowski, Curitiba - PR","-25.444643, -49.24406"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:41,21/07/2025 15:41,36,14.02v,10,6683731,"Avenida Professor Lothário Meissner, Curitiba - PR","-25.444202, -49.243134"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:42,21/07/2025 15:42,61,14.04v,10,6684783,"Rodovia Curitiba - Paranaguá - BR-277, Curitiba - PR","-25.444319, -49.23295"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:45,21/07/2025 15:45,82,13.97v,10,6688974,"Rodovia Curitiba - Paranaguá - BR-277, Curitiba - PR","-25.474993, -49.208366"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:45,21/07/2025 15:45,120,14.02v,10,6690361,"Rodovia Curitiba - Paranaguá - BR-277, Curitiba - PR","-25.481022, -49.196606"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:45,21/07/2025 15:45,117,14.02v,10,6690459,"Rodovia Curitiba - Paranaguá - BR-277, Curitiba - PR","-25.481413, -49.195724"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:47,21/07/2025 15:47,121,14.02v,10,6693023,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.4916, -49.172813"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:47,21/07/2025 15:47,121,13.98v,10,6693091,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.491875, -49.172215"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:47,21/07/2025 15:47,114,14.02v,10,6693291,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.492678, -49.17043"
TBI9A63,2180169507,ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:50,21/07/2025 15:50,127,13.96v,10,6697570,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.509872, -49.131893"
TBI9A63,2180169507,RFU_ENG,ON,21/07/2025 15:50,21/07/2025 15:50,134,14.02v,10,6697642,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.510157, -49.13123"
TBI9A63,2180169507,FIM_ALERTA_DIRECAO_ACIMA_VELOCIDADE,ON,21/07/2025 15:50,21/07/2025 15:50,114,13.99v,10,6698157,"Rodovia Curitiba - Paranaguá - BR-277, São José dos Pinhais - PR","-25.512177, -49.126675"
